YEAR,SIZE,ARINV,CATA,CR,ROA,LEV,LOSS,EMPLOY,BIG4,CHANT,OP,DELAY,LNFEE,EXPECTED,ABFEE
0,25.95851061,0.011021045,0.722524012,1.511939758,0.016469694,0.853570109,0,102.5816748,0,0,1,10.77032961,2800000,3655858.984,-855858.984
0,22.0854665,0.011377084,0.743762602,1.200560651,-0.035535255,0.81849213,1,39.52214569,0,1,0,15.5241747,2380000,950507.5279,1429492.472
0,22.75391982,0.477285036,0.848947343,1.114530621,0.047744666,0.761752917,0,102.8882889,0,0,1,9.055385138,880000,2976080.056,-2096080.056
0,24.1128042,0.112311869,0.379742845,1.104049105,0.027222353,0.511848443,0,128.6118191,0,1,1,7.615773106,2150000,4581634.061,-2431634.061
0,22.75475359,0.251838161,0.592163074,1.428355046,0.150948645,0.575244634,0,46.36809248,0,0,1,10.48808848,1500000,919599.6759,580400.3241
0,23.37437029,0.003719713,0.255802565,1.752690434,0.014824228,0.591610658,0,27.12931993,0,0,1,10.44030651,1400000,660160.2429,739839.7571
0,22.66811691,0.008857104,0.752349254,1.481021022,0.044050155,0.630905896,0,52.5642464,0,0,1,10.48808848,1050000,1222061.155,-172061.155
0,24.15622506,0.012067156,0.429111652,0.747474191,0.062682301,0.591053529,0,101.1582918,0,0,1,9.949874371,1950000,3249566.349,-1299566.349
0,23.66077782,0.025931459,0.390456413,1.281199246,0.057955463,0.448532451,0,98.41239759,0,0,1,9.433981132,1290000,3121938.661,-1831938.661
0,23.65943031,0.003077111,0.192245959,0.513526178,0.003246359,0.659883432,0,70.96478,0,0,1,10.72380529,1850000,2219438.725,-369438.725
0,22.8710083,0.200707674,0.550037219,1.389526498,0.05332015,0.477585822,0,42.80186912,1,0,1,8.94427191,1700000,2708673.045,-1008673.045
0,25.69281671,0.169108839,0.751798581,1.202430808,0.03741497,0.684777377,0,273.4465213,0,0,1,8.602325267,8459085,9598169.783,-1139084.783
0,23.16252949,0.187317762,0.806055078,1.455870166,0.047377959,0.640240905,0,44.73253849,0,0,1,9.219544457,1050000,1034851.575,15148.425
0,23.44466546,0.142858269,0.521246937,1.475956614,0.04579028,0.502776612,0,117.5967687,0,0,1,10.77032961,1180000,3752804.58,-2572804.58
0,21.75420521,0.087867259,0.398671657,0.691000256,0.011643223,0.610298704,0,23.55843798,0,0,1,10.14889157,700000,128317.5425,571682.4575
0,26.10529645,0.002226907,0.766387275,1.621319122,0.042850734,0.698910671,0,158.5244461,0,0,1,10.67707825,2800000,5630535.856,-2830535.856
0,22.52943596,0.338908344,0.744991473,1.286207267,0.048884318,0.610372858,0,70.11419257,0,0,1,9.949874371,950000,1824616.726,-874616.726
0,24.15286869,0.453979692,0.810084031,1.103577648,0.026594723,0.79046932,0,96.23928512,0,0,1,10.77032961,2030000,3058081.184,-1028081.184
0,22.95285046,0.002972789,0.133319127,2.91157234,0.046563551,0.238874972,0,26.72077843,0,0,1,10.39230485,380000,658099.703,-278099.703
0,23.29716547,0.029288331,0.289860342,2.009680619,0.051462348,0.144604501,0,73.78346698,0,0,1,9.38083152,950000,2302879.367,-1352879.367
0,23.97335675,0.054615565,0.848440801,1.740636988,0.023193701,0.744549899,0,77.31752712,0,0,1,9.433981132,1050000,2359452.42,-1309452.42
0,21.66059898,0.002682458,0.577416432,11.5088955,0.060701888,0.059299521,0,19.94993734,1,0,1,9.055385138,1000000,2227422.634,-1227422.634
0,22.44985206,0.075958979,0.320547349,2.053011505,0.017002609,0.455036878,0,33.09078422,0,0,1,9.219544457,1100000,706960.5251,393039.4749
0,25.80027537,0.092001101,0.499681304,1.108627595,0.022113756,0.662227274,0,273.9689763,0,0,1,10.81665383,3880000,9722084.709,-5842084.709
0,22.75407979,0.111929701,0.371575828,0.711852205,0.02418751,0.688450159,0,134.2460428,0,1,1,10.72380529,2680000,4473949.601,-1793949.601
0,21.4918902,0.041550252,0.818006351,1.518953717,0.041003335,0.540770362,0,19.8242276,0,0,1,9.38083152,770000,-159734.0612,929734.0612
0,21.74128788,0.227152681,0.54050058,1.004243705,0.023610864,0.559038255,0,67.60917098,0,0,1,10.39230485,850000,1656995.349,-806995.349
0,22.63801091,0.17439825,0.509582074,2.411421776,0.056232233,0.458188863,0,13.7113092,0,0,1,10.77032961,650000,-20228.98693,670228.9869
0,23.39190237,0.043339929,0.581750988,3.223719418,0.044464681,0.280397681,0,70.26378868,0,0,1,10.67707825,1800000,2179872.194,-379872.194
0,25.14390083,0.260151268,0.746148612,2.535405463,0.01500898,0.540255896,0,116.0215497,0,0,1,9.38083152,2680000,4082347.824,-1402347.824
0,23.27186804,0.181642776,0.591428603,1.303821212,0.027760726,0.529870194,0,71.09149035,0,0,1,9.949874371,1250000,2079802.168,-829802.168
0,21.83442212,0.035233261,0.626681378,2.248272881,-0.023414887,0.310459321,1,20,1,0,1,9.273618495,750000,1732512.084,-982512.084
0,22.20834814,0.009841282,0.515903437,5.339108329,0.051641006,0.186972354,0,23.93741841,1,0,1,8.246211251,750000,2160927.532,-1410927.532
0,26.23712537,0.070649869,0.635338032,1.32361462,0.0750128,0.665768324,0,319.1018646,1,0,1,9.38083152,8700000,13009009.11,-4309009.11
0,25.96838371,0.071570695,0.529113815,1.278649972,0.048399365,0.702828854,0,203.4748142,0,0,1,9.327379053,12600000,7223796.893,5376203.107
0,23.4516885,0.595968528,0.858069771,1.834472908,0.044535991,0.46927331,0,75.24626237,0,0,1,9,1080000,2234848.225,-1154848.225
0,24.43767439,0.02827193,0.2735101,0.506403909,0.00319571,0.725263406,0,119.2644121,0,0,1,9,3470000,4043412.681,-573412.681
0,25.55330272,0.002644545,0.670002357,2.63615869,0.032765007,0.730813893,0,58.43800133,0,1,1,9.110433579,2580000,2354278.662,225721.338
0,21.00133675,0.075863496,0.52192665,0.984180144,0.011543908,0.589443611,0,33.33166662,0,0,0,10.72380529,900000,378566.5894,521433.4106
0,23.02366823,0.112914212,0.764614866,1.295237609,0.02125615,0.60286779,0,80.25584091,0,0,1,9.38083152,900000,2301311.252,-1401311.252
0,22.34168436,0.061903619,0.345545946,0.864609115,0.024321236,0.465131831,0,38.48376281,0,0,1,10,1020000,793077.6142,226922.3858
0,22.77026455,0.088155577,0.468199919,3.132611092,0.157134341,0.156207442,0,42.14261501,0,0,1,10.81665383,2300000,936781.6759,1363218.324
0,22.51057112,0.072375047,0.365251647,0.543142816,-0.045410235,0.818472942,1,43.43961326,0,1,0,13.07669683,1300000,1252858.098,47141.902
0,23.7871559,0.229318585,0.79788532,0.903781539,0.00506071,0.952312446,0,108.9816498,0,0,1,5.385164807,1740000,3412065.37,-1672065.37
0,22.92971337,0.411091522,0.900469401,1.158884048,0.021077048,0.790254084,0,49.31531202,0,0,1,10.44030651,1000000,1147526.236,-147526.236
